ID,PH1,P1,K1,Ca1,Mg1,Na1,S1,Cu1,Zn1,Bases1,CEC1,OM1,NITR1,AMMON1,PH2,P2,K2,Ca2,Mg2,Na2,S2,Cu2,Zn2,Bases2,CEC2,OM2,CCNIT2,CCCarb2,CN_RATIO2,TOTNIT2,WeedBio2,CCBio2,NITR2,AMMON2,PH3,P3,K3,Ca3,Mg3,Na3,S3,Cu3,Zn3,Bases3,CEC3,OM3,NITR3,AMMON3,LOCATION,GDD_cum,VARIETY,YIELD_OBS,PYIELD_MODEL,VIGOR1,VIGOR2,NDVI_A,NDVI_B,MUSYM
4312,7.89,23.79,150.21,5127.9,424.38,213.93,37.81,1.81,1.69,30.46,12.78,1.9,2.17,0.29,8.27,24.59,151.8,4766.35,397.46,88.38,18.98,2.02,1.6,27.89,11.83,1.41,2.5,71.4,28.56,43.06,215.29,1722.34,0.51,0.29,7.94,24.76,153.49,5424.91,409.62,40.37,17.24,1.96,1.7,31.08,11.75,1.37,1.15,0.29,RRS,9076.5,CL111,6.847399333,6.253714754,4,4,0.499,0.673,Cl
4313,7.84,27.71,126.57,5324.48,351.83,80.49,23.51,1.89,1.82,30.2,12.21,1.6,1.98,0.26,7.93,29.06,178.96,4567.03,339.66,34.73,13.18,1.97,1.93,26.25,12.53,1.77,1.3,34.3,26.38,8.4,0,645.86,0.59,0.34,7.96,29.1,172.61,5043.42,326.88,22.99,14.47,1.96,1.92,28.46,12.18,1.59,1.4,0.17,RRS,9076.5,CL151,9.140676877,8.526034578,4,3,0.518,0.755,Cl
4314,7.75,23.4,118.59,5573.89,508.03,833.93,56.5,1.69,1.67,36,11.91,1.5,2.55,0.26,8.04,21.82,149.63,5387.92,532.55,338.09,41.28,1.66,1.56,33.19,12.04,1.52,2.6,70.6,27.15,33.59,215.29,1291.75,0.72,0.23,8.28,21.04,141.96,5658.02,509.14,87.89,21.26,1.58,1.43,33.24,11.69,1.35,1.81,0.17,RRS,9076.5,CL152,9.826049696,9.151220033,3,3,0.592,0.773,Cl
4315,7.9,22.6,183.46,5845.91,539.96,364.8,45.41,1.52,1.44,35.75,12.37,1.7,2.04,0.26,8.34,20.82,160.16,5652.66,461.04,151.53,27.88,1.67,1.57,33.14,12.02,1.51,1.2,42.8,35.67,5.17,430.57,430.57,0.59,0.2,8.04,21.56,150.85,6004.79,488.3,52.35,22.06,1.67,1.58,34.67,12.02,1.51,1.28,0.21,RRS,9076.5,CL271,7.415656575,7.223070043,3,3,0.792,0.815,Cl
4316,7.78,18.68,132.93,6704.31,598.42,488.46,74.34,1.53,1.32,40.93,12.26,1.6,3.69,0.26,8.14,31.21,169.35,7161.09,570.42,149.11,31.21,1.72,1.61,41.6,11.94,1.47,1.3,37.6,28.92,33.58,0,2583.45,0.54,0.17,8.23,17.8,128.52,6994.44,494.05,35.05,23.22,1.46,1.32,39.54,11.53,1.26,1.21,0.38,RRS,9076.5,LA2125,9.016093447,8.676047556,3,4,0.701,0.749,Cl
4319,8.67,18.99,135.66,7892.34,845.06,1158.4,140.68,1.1,1.51,51.83,11.61,1.3,1.83,0.23,8.36,19.69,170.77,7853.44,810.66,345.48,63.58,1.29,1.75,47.91,11.72,1.36,3,91.2,30.4,6.46,215.29,215.3,0.52,0.27,8.56,19.04,133.79,8018.79,702,72.11,24.43,1.11,1.73,46.55,11.31,1.16,0.93,0.28,RRS,9076.5,MERMENTAU,8.776829068,8.550207448,4,4,0.568,0.776,Cl
4320,8.45,19.75,122.5,8099.14,826.01,566.45,105.85,1.03,1.61,50.1,12.24,1.6,2.58,0.26,8.77,13.89,112.38,7793.87,540.62,87.18,21.59,1.16,1.4,44.1,11.17,1.09,1.6,26,16.25,24.11,0,1507.01,0.54,0.29,8.19,15.72,135.46,8298.22,560.14,20.88,21.01,1.01,1.73,46.56,11.39,1.2,0.65,0.24,RRS,9076.5,JUPITER,7.384374877,6.545577966,4,4,0.643,0.811,Cl
4321,8.01,26.69,175.8,4658.68,299.66,46.24,21.6,1.8,1.45,26.42,12.53,1.8,1.44,0.28,8.1,24.45,150.98,4643.5,344.46,65.45,18.36,2.04,1.31,26.73,11.66,1.33,1.9,71.4,37.58,16.36,215.29,861.2,0.59,0.22,7.93,30.96,199.19,5044.26,321.97,22.05,14.99,1.89,1.62,28.49,12.24,1.62,1.95,0.49,RRS,9076.5,CLXL745,10.22505189,9.895729838,3,3,0.639,0.803,Cl
4322,8.06,23.62,142.64,5288.86,432.56,156.13,29.02,1.59,1.33,31.06,11.96,1.5,2.71,0.25,8.53,20.95,135.81,5183.07,390.32,56.28,16.98,1.79,1.35,29.73,11.91,1.45,1.31,47.5,36.33,14.07,0,1076.44,0.68,0.28,8.01,22.3,119.92,5526.25,396.87,36.7,17.94,1.73,1.68,31.38,11.8,1.4,1.1,0.27,RRS,9076.5,LAH10,9.002386279,8.490268828,4,3,0.746,0.766,Cl
4323,7.71,28.3,128.16,5563.42,441.99,707.44,74.6,1.75,1.56,34.87,12.04,1.5,2.51,0.3,8.06,18.69,149.89,5585.41,462.36,250.98,39.01,1.95,1.3,33.22,11.69,1.35,1.75,43.1,24.59,3.77,1076.44,215.29,0.54,0.19,8.15,23.7,173.48,5720.49,435.39,64.71,20.95,1.76,1.33,32.93,11.96,1.48,1.57,0.31,RRS,9076.5,XL753,12.31114474,11.73062076,3,3,0.71,0.785,Cl
4324,7.78,20.71,210.26,5586.58,354.59,158.06,38.76,1.75,1.13,32.09,12.37,1.7,2.09,0.19,8.07,21.59,227.6,5364.22,422.59,236.48,36.67,1.8,1.47,31.92,12.67,1.84,1.82,40,21.92,7.86,215.29,430.57,0.62,0.34,7.86,25.02,175.73,6055.18,373.7,34.66,21.34,1.72,1.4,33.96,12.07,1.54,2.24,0.64,RRS,9076.5,LA2137,7.971552912,8.316774814,5,4,0.694,0.751,Cl
4326,8.02,20.11,124.87,6968.17,526.07,535.5,67.42,1.43,1.07,41.84,11.91,1.5,1.9,0.23,8.15,15.04,116.51,6133.38,451.4,204.28,30.27,1.63,0.87,35.58,11.26,1.13,1.87,36.8,19.69,24.15,0,1291.72,0.42,0.2,8.22,18.76,134.58,7233.92,469.75,66.58,24.07,1.53,1.11,40.69,11.42,1.21,1.06,0.25,RRS,9076.5,CLXL745,9.900130809,9.134890292,3,3,0.693,0.8,Cl
4327,8.15,16.62,140.78,7211.91,753.08,1122.22,162.37,1.15,1.12,47.52,11.96,1.5,3.43,0.24,8.69,21.09,151.3,7518.74,653.47,304.15,51.04,1.24,1.2,44.7,11.94,1.47,2.2,69.3,31.5,33.15,215.29,1507.04,0.54,0.18,8.23,14.64,126.06,7435.86,597.53,38,22.93,1.15,1.58,42.61,11.58,1.29,1.18,0.61,RRS,9076.5,CL152,10.39654509,9.143780975,5,5,0.475,0.706,Cl
4328,8.44,11.01,104.47,7148.14,714.33,450.23,63.05,1.01,1.36,43.87,11.77,1.4,1.62,0.21,8.23,14.22,130.24,7711.65,612.3,152.02,27.25,1.21,1.51,44.61,11.56,1.28,2.5,67.5,27,10.76,215.29,430.58,0.4,0.19,8.21,15.16,116.22,9013.53,541.93,24.89,23.24,1.67,1.41,49.95,11.96,1.48,1.23,0.3,RRS,9076.5,MERMENTAU,10.64949196,10.32700622,4,3,0.679,0.812,Cl
4329,7.79,22.56,185.04,5078.3,340.31,114.44,25.4,1.89,1.21,29.17,12.75,1.9,2.12,0.25,8.24,22.64,201.89,4503.76,312.17,47.77,16.26,2.04,1.27,25.82,12.34,1.67,2.54,29.2,11.52,32.76,0,1291.72,0.55,0.27,7.78,21.45,176.5,5084.74,326.74,19.07,15.26,2,1.23,28.66,12.18,1.59,1.21,0.28,RRS,9076.5,JUPITER,9.556471984,9.171608771,5,4,0.757,0.826,Cl
4331,7.95,23.67,199.72,4623.43,277.73,28.36,19.11,1.91,2.25,26.05,12.64,1.8,2.11,0.28,8.04,21.39,149.95,4220.5,318.43,83.37,18.42,1.88,1.05,24.48,11.61,1.3,1.33,43.32,32.56,5.73,430.57,430.57,0.53,0.2,7.91,25.16,184.09,5058.94,327.85,25.99,16.25,1.97,1.34,28.59,12.24,1.62,1.72,0.39,RRS,9076.5,LA2125,8.169895235,8.19420174,4,3,0.795,0.835,Cl
4332,8.05,23.77,143.78,5202,378.8,83.23,24.62,1.75,1.16,29.87,12.48,1.7,2.57,0.21,8.44,22.41,120.32,5006.06,390.99,84.77,19.2,2.05,1.14,28.94,11.69,1.35,1.93,39.34,20.35,24.96,0,1291.72,0.52,0.35,7.95,21.08,114.5,5362.72,391.24,75.8,19.55,1.77,1.27,30.67,11.83,1.41,1.78,1.1,RRS,9076.5,CL111,5.493943566,4.088063265,3,3,0.713,0.786,Cl
4333,7.72,21.17,123.22,5805.63,480.4,601.48,57.72,1.74,1.01,35.93,12.32,1.7,3.2,0.21,8.03,18.67,158.97,5391.7,456.1,262.53,34.71,1.67,1.14,32.28,11.8,1.4,1.34,39.65,29.52,5.78,645.86,430.57,0.73,0.34,8.22,22.83,148.14,5367.78,424.91,63.82,20.87,1.66,1.12,31.01,11.53,1.26,1.06,0.43,RRS,9076.5,LA2137,7.823562217,7.440515724,4,4,0.806,0.832,Cl
4334,7.78,23.24,177.76,5917.94,338.13,108.3,32.92,1.71,1.09,33.31,12.75,1.9,2.29,0.31,8.52,18.96,148.13,4927.43,395.15,71.19,18.29,1.8,0.88,28.59,11.77,1.39,2.45,40.64,16.61,57.93,0,2368.16,0.56,0.22,8.01,22.48,162.6,5886.42,367.58,29.1,19.08,1.9,1.15,33.01,12.18,1.59,1.41,0.32,RRS,9076.5,CL271,7.996034644,7.323089262,4,4,0.74,0.852,Cl
4335,8.07,15.97,118.97,6408.1,508.01,428.21,53.69,1.39,0.9,38.4,11.91,1.5,2.73,0.17,8.02,14.96,129.69,6079.72,661.91,682.83,76.61,1.42,0.87,39.17,11.83,1.41,2.4,62.8,26.17,15.5,0,645.89,0.72,0.14,8.03,16.31,122.54,6510.96,485.4,46.82,21.84,1.41,0.91,37.08,11.53,1.26,1.11,0.45,RRS,9076.5,XL753,10.75607581,10.88364197,3,4,0.769,0.828,Cl
4336,8.27,15.24,124,6799.25,569.36,455.83,63.56,1.22,0.92,41,11.94,1.5,2.61,0.24,8.21,9.72,117.54,5334.39,412.18,79.76,16.14,1.27,0.77,30.73,11.58,1.29,2.4,67,27.92,31,645.86,1291.75,0.48,0.54,8.3,16.93,135.86,7080.52,507.87,47.54,21.2,1.29,1.11,40.15,11.61,1.3,0.78,0.34,RRS,9076.5,LAH10,10.06349166,9.452722321,5,5,0.753,0.809,Cl
4337,8.52,12.43,95.39,7573.55,637.77,385.43,61.72,1.06,0.88,45.06,12.13,1.6,1.79,0.2,8.22,17.23,112.96,7765.4,501.57,122.53,27.17,1.19,0.98,43.79,11.42,1.21,1.8,81.2,45.11,7.75,430.57,430.59,0.42,0.41,8.26,13.13,110.43,8427.53,563.48,21.89,21.77,1.04,1.08,47.17,11.64,1.32,0.7,0.27,RRS,9076.5,CL151,6.210866686,6.370019425,4,4,0.816,0.827,Cl
4338,7.53,77.73,646.68,4393,1043.73,8.81,3.63,5.15,2.41,32.28,21.2,3.1,2.07,0.36,8.17,51.76,476.24,6678.95,968.13,40.28,10.61,4.68,1.72,42.79,18.91,1.96,1.1,41.7,37.91,7.1,0,645.86,0.2,0.38,7.77,97.79,569.26,4771.03,1061.96,20.71,6.27,5.48,2.25,34.18,20.46,2.73,0.55,0.25,RRS,9076.5,CLXL745,9.329391004,9.411040403,3,3,0.773,0.821,Cl
4340,7.78,81.84,512.63,4986.47,889.57,7.7,2.38,5.05,2.39,33.63,19.95,2.5,1.8,0.44,8.31,23.87,390.32,7225.17,906.63,42.7,13.25,4.5,1.3,44.8,17.88,1.44,1.8,35.98,19.99,7.75,215.29,430.57,0.2,0.44,8.07,46.85,459.66,5096.52,1019.64,28.85,5.78,5.39,1.91,35.21,19.24,2.12,0.41,0.22,RRS,9076.5,CL151,7.849569495,6.296447834,4,4,0.798,0.906,Cl
4341,7.93,68.35,600.35,4854.92,1004.87,3.1,3.83,5.24,2.58,34.13,20.19,2.6,1.78,0.44,7.81,85.46,564.99,4626.28,936.53,26.1,8.8,5.49,2.33,32.43,20,2.5,2.7,33.51,12.41,5.81,0,215.29,0.26,0.62,8.01,37.33,447.49,4930.5,988.26,29.99,5.3,5.13,1.56,34.09,19.11,2.05,0.37,0.13,RRS,9076.5,LAH10,10.1393726,9.556563744,4,4,0.818,0.865,Cl
4342,7.93,73.23,663.59,4499.65,1018.74,8.67,1.79,5.2,3.5,32.65,20.52,2.8,1.45,0.34,8.12,46,474.53,6383.38,968.77,34.7,11.08,5.1,1.84,41.29,18.78,1.89,1.1,40.29,36.63,28.42,0,2583.45,0.31,0.77,7.87,87.6,568.42,4389.96,1006.68,21.74,6.47,5.41,2.55,31.82,21.25,3.13,0.7,0.38,RRS,9076.5,CL152,8.591231741,7.208500261,4,4,0.827,0.869,Cl
4343,8.02,95.26,537.26,4876.86,858.41,3.62,2.17,5.28,2.43,32.87,19.98,2.5,1.41,0.27,8.24,58.55,484.52,5247.79,887.03,33.36,8.87,4.96,1.93,34.95,18.59,1.79,2.5,35.04,14.02,16.15,0,645.86,0.18,0.62,7.77,89.9,540.87,4797.71,882.66,16.06,7.03,5.21,2.27,32.74,20.19,2.6,0.46,0.26,RRS,9076.5,MERMENTAU,9.010098812,8.625944228,3,3,0.824,0.912,Cl
4345,8.14,105.81,701.07,4559.84,953.57,1.7,1.61,5.67,2.78,32.48,20.27,2.6,0.82,0.66,7.81,59.95,543.34,4589.82,882.21,20.13,8.02,5.78,2.32,31.72,19.92,2.46,1,35.8,35.8,6.46,0,645.86,0.41,0.83,7.86,68.3,485.38,4457.17,886.94,19.15,5.08,5.75,2.12,30.94,19.84,2.42,0.37,0.22,RRS,9076.5,LA2125,7.996188919,6.446731132,3,4,0.834,0.9,Cl
